Date,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
1.25.24,Thursday,7.29,Sandwich,Food,Debit,Need
1.25.24,Thursday,2.05,Bus Pass,Travel,Debit,Need
1.26.24,Friday,2.05,Bus Pass,Travel,Debit,Need
1.26.24,Friday,10,Chinese Takeout,Food,Cash,Need
1.26.24,Friday,50,Cash Gift,Financial goals and Savings,Cash,Savings
1.26.24,Friday,50,Cash Gift,Financial goals and Savings,Cash,Savings
1.29.24,Monday,2.05,Bus Pass,Travel,Debit,Need
1.30.24,Tuesday,7.29,Sandwich,Food,Debit,Need
1.30.24,Tuesday,159.69,Headphones,Entertainment and Recreation,Debit,Want
1.31.24,Wednesday,53.03,Check Reimbursement,Financial goals and Savings,Cash,Savings
2.1.23,Thursday,240.90,Item Return,Financial goals and Savings,Debit,Savings
2.2.23,Friday,13.20,Zelle,Entertainment and Recreation,Debit,Need